Model,Train RMSE,Test RMSE,Train MAE,Test MAE,Train R²,Test R²,Train MSE,Test MSE
Linear Regression,2.9048538249254725,3.1002328315033627,2.347457225679787,2.5022379484010657,0.9471770341039993,0.936857767670387,8.438175744184148,9.611443609531356
Ridge Regression,2.906081842646409,3.1044787875049824,2.3475249198171553,2.5012502368319294,0.9471323631818973,0.9366846950375399,8.445311676159147,9.637788542068407
Lasso Regression,2.939980245983701,3.1718715795916275,2.3744645705200917,2.5457725824061637,0.9458918057288056,0.9339059292794187,8.643483846774382,10.060769317421087
Gradient Boosting,2.393723227542672,4.541884758015677,1.917761590200584,3.634437530553935,0.9641307675130746,0.8644799569986343,5.7299108900773055,20.62871715509513
Random Forest,2.3807335182732907,6.564627942570358,1.8850318943671562,5.253214285428268,0.9645190051278442,0.716892389899467,5.667892085029921,43.09434002437554
